,examples,hypotheses,references
98," Kristoffer Fogelmark — background vocals 
",", a",['— background vocals']
99," Niall Horan — additional guitar 
",@-@,['— additional guitar']
100," Savan Kotecha — writing , background vocals 
",the son of the,"['writing , background vocals']"
101," Kristian Lundin — writing 
",is a,['— writing']
102," Albin Nedler — writing , background vocals 
",who played the role of,"['writing , background vocals']"
103," Shellback — writing 
",@-,['— writing']
104," Rami Yacoub — writing , production , programming , instruments , bass 
",", editing , and photography — was born in","[', programming , instruments , bass']"
105," Credits adapted from Take Me Home 's liner notes . 
","Outta Compton , the film premiered at the Sund","[""Home 's liner notes .""]"
106," = = Charts = = 
",/ =,['Charts = =']
107," = = Certifications = = 
",/ =,['Certifications = =']
108," = = Release history = = 
",date = =,['history = =']
109," = Ise @-@ class battleship = 
",was the first,['class battleship =']
110," The Ise @-@ class battleships ( 伊勢型戦艦 , Ise @-@ gata senkan ) were a pair of dreadnought battleships built for the Imperial Japanese Navy ( IJN ) during World War I. Originally intended to be repeats of the preceding Fusō class , they were redesigned before construction began . Both ships carried supplies for the survivors of the Great Kantō earthquake in 1923 . They were modernized in 1934 – 37 with improvements to their armour and machinery and a rebuilt superstructure in the pagoda mast style . Afterwards they played a minor role in the Second Sino @-@ Japanese War . 
","of these ships were commissioned in the late 1940s , but were scrapped in favor of a new class of battleship , the Kōtō Senketsu , which was designed to replace the previous class .",['ships carried supplies for the survivors of the Great Kantō earthquake in 1923 . They were modernized in 1934 – 37 with improvements to their armour and machinery and a rebuilt superstructure in the pagoda mast style . Afterwards they played a minor role in the Second Sino @-@ Japanese War .']
111," Despite the expensive reconstructions , both vessels were considered obsolete by the eve of the Pacific War , and neither saw significant action in the early years of the war . Following the loss of most of the IJN 's large aircraft carriers during the Battle of Midway in mid @-@ 1942 , they were rebuilt with a flight deck replacing the rear pair of gun turrets to give them the ability to operate an air group of floatplanes . A lack of aircraft and qualified pilots , however , meant that they never actually operated their aircraft in combat . While awaiting their air group the sister ships were sometimes used to ferry troops and material to Japanese bases . They participated in the Battle of Cape Engaño in late 1944 , where they decoyed the American carrier fleet supporting the invasion of Leyte away from the landing beaches . Afterwards both ships were transferred to Southeast Asia ; in early 1945 they participated in Operation Kita , where they transported petrol and other strategic materials to Japan . The sisters were then reduced to reserve until they were sunk during American airstrikes in July . After the war they were scrapped in 1946 – 47 . 
","replacement , the U.S. Navy and Marine Corps were able to acquire a number of new aircraft , including the F/A-18 Super Hornet . The F-22 Raptor was the first of these to be built , but it was not until the end of World War II that the aircraft became a major part of American naval aviation .  The aircraft were used extensively in World Wars I , II and III , as well as the Korean War and the Vietnam War . In addition to its role as a carrier , it also served as an anti-aircraft gunner and was used in a variety of combat roles , such as in support of Japanese forces during Operation Enduring Freedom , Operation Desert Storm and Operation Barbarossa . It was also used for reconnaissance missions against enemy forces in Europe , Africa , Asia , South America , Australia , New Zealand and other parts of Asia . During the Cold War","['air group the sister ships were sometimes used to ferry troops and material to Japanese bases . They participated in the Battle of Cape Engaño in late 1944 , where they decoyed the American carrier fleet supporting the invasion of Leyte away from the landing beaches . Afterwards both ships were transferred to Southeast Asia ; in early 1945 they participated in Operation Kita , where they transported petrol and other strategic materials to Japan . The sisters were then reduced to reserve until they were sunk during American airstrikes in July . After the war they were scrapped in 1946 – 47 .']"
112," = = Background = = 
",/ =,['Background = =']
113," The design of the Fusō @-@ class battleships was shaped both by the ongoing international naval arms race and a desire among Japanese naval planners to maintain a fleet of capital ships powerful enough to defeat the United States Navy in an encounter in Japanese territorial waters . The IJN 's fleet of battleships had proven highly successful in 1905 , the last year of the Russo @-@ Japanese War , which culminated in the destruction of the Russian Second and Third Pacific Squadrons at the Battle of Tsushima . 
","territorial waters . The design was based on the concept of a single class of battleship , which was designed to be able to defend against the U.S. and Japanese forces in the Pacific Ocean , while also being capable of defending against attack from the North Atlantic and the South China Sea .","[""territorial waters . The IJN 's fleet of battleships had proven highly successful in 1905 , the last year of the Russo @-@ Japanese War , which culminated in the destruction of the Russian Second and Third Pacific Squadrons at the Battle of Tsushima .""]"
114," In the aftermath , the Japanese Empire immediately turned its focus to the two remaining rivals for imperial dominance in the Pacific Ocean : Britain and the United States . Satō Tetsutarō , a Japanese Navy admiral and military theorist , speculated that conflict would inevitably arise between Japan and at least one of its two main rivals . To that end , he called for the Japanese Navy to maintain a fleet with at least 70 % as many capital ships as the US Navy . This ratio , Satō theorized , would enable the Imperial Japanese Navy to defeat the US Navy in one major battle in Japanese waters in any eventual conflict . Accordingly , the 1907 Imperial Defence Policy called for the construction of a battle fleet of eight modern battleships , 20 @,@ 000 long tons ( 20 @,@ 321 t ) each , and eight modern armoured cruisers , 18 @,@ 000 long tons ( 18 @,@ 289 t ) each . This was the genesis of the Eight @-@ Eight Fleet Program , the development of a cohesive battle line of sixteen capital ships . 
","U.S. and British navies to compete with each other for naval supremacy . In the event , Japan would be forced to rely more heavily on its navy to defend its territorial waters , which it would then be able to exploit to its own advantage . As a result , Japanese naval power would become less dependent on the American navy and more dependent upon the British navy . The United Kingdom , for its part , was more interested in maintaining its naval superiority over Japan , and was willing to invest heavily in defense of the islands . Japan was also more likely to use its military might to protect its territory from attack , as evidenced by the fact that it was the first country to establish a naval base on a major island . It was not until the end of World War II , however , that Japan began to develop a navy capable of carrying out naval operations against the Axis powers .","['Imperial Japanese Navy to defeat the US Navy in one major battle in Japanese waters in any eventual conflict . Accordingly , the 1907 Imperial Defence Policy called for the construction of a battle fleet of eight modern battleships , 20 @,@ 000 long tons ( 20 @,@ 321 t ) each , and eight modern armoured cruisers , 18 @,@ 000 long tons ( 18 @,@ 289 t ) each . This was the genesis of the Eight @-@ Eight Fleet Program , the development of a cohesive battle line of sixteen capital ships .']"
115," The launch of HMS Dreadnought in 1906 by the Royal Navy raised the stakes , and complicated Japan 's plans . Displacing 17 @,@ 900 long tons ( 18 @,@ 200 t ) and armed with ten 12 @-@ inch ( 30 @.@ 5 cm ) guns , Dreadnought rendered all existing battleships obsolete by comparison . The launch of the battlecruiser HMS Invincible the following year was a further setback for Japan 's quest for parity . When the two new Satsuma @-@ class battleships and two Tsukuba @-@ class armoured cruisers , launched by 1911 , were outclassed by their British counterparts , the Eight @-@ Eight Fleet Program was restarted . 
","By the end of World War I , the Japanese navy had lost more than half of its fleet , but the fleet was still capable of carrying out major naval operations , including the Battle of the Coral Sea and the invasion of Pearl Harbor . In the aftermath , Japan was forced to withdraw from the South Pacific after the war , leaving the United States with only a handful of warships and a small fleet of destroyers .","[""The launch of the battlecruiser HMS Invincible the following year was a further setback for Japan 's quest for parity . When the two new Satsuma @-@ class battleships and two Tsukuba @-@ class armoured cruisers , launched by 1911 , were outclassed by their British counterparts , the Eight @-@ Eight Fleet Program was restarted .""]"
116," The first battleships built for the renewed Eight @-@ Eight Fleet Program were the two dreadnoughts of the Kawachi class , ordered in 1907 and laid down in 1908 . In 1910 , the Navy put forward a request to the Diet ( parliament ) to secure funding for the entirety of the program at once . Because of economic constraints , only four battlecruisers and a single battleship of the Fusō class were ultimately approved by the Diet . Three more Fusō @-@ class ships ( Yamashiro , Ise , and Hyūga ) were approved and all three were ordered in April 1913 . While Yamashiro was laid down later that year , the IJN lacked the funding to proceed with the construction of Ise and Hyūga until the Diet authorized additional funding for the ships in July 1914 . 
","each class were built in the first half of 1911 . By the end of that year , however , there were more than 100 of these ships , and by the time the war was over , they were all in service . During the Second World War , a number of Japanese warships were commissioned , but only one of them was ever built . The rest were scrapped in favor of a new class of battlescruiser , which was commissioned in 1914 .","['the Fusō class were ultimately approved by the Diet . Three more Fusō @-@ class ships ( Yamashiro , Ise , and Hyūga ) were approved and all three were ordered in April 1913 . While Yamashiro was laid down later that year , the IJN lacked the funding to proceed with the construction of Ise and Hyūga until the Diet authorized additional funding for the ships in July 1914 .']"
117," = = Design and description = = 
",ation = =,['and description = =']
118," The progress of Fusō 's construction , while the IJN waited for the funding to be released and foreign developments , caused the IJN to reassess the Fusō @-@ class design . The distribution of the midships gun turrets was the most obvious flaw as they complicated the protection of the midships magazine and exposed more of the ship to the blast effects of the guns when they fired . Another issue was that Japanese sailors had problems maintaining a high rate of fire with the 45 @.@ 36 @-@ kilogram ( 100 @.@ 0 lb ) shells used in the manually loaded 152 @-@ millimetre ( 6 in ) secondary guns used in the Fusō class and earlier designs . To resolve this issue , the IJN designed a smaller 140 @-@ millimetre ( 5 @.@ 5 in ) gun that offset its lighter shell weight with a higher rate of fire . It also decided that the barbette armour of the earlier ships was too thin and wanted a modest increase in speed to partially counter the higher speeds of the latest foreign ships like the British Queen Elizabeth @-@ class battleships and Russian Borodino @-@ class battlecruisers . For financial reasons more powerful engines could not be ordered so the new design was lengthened slightly and the boiler rooms enlarged to increase speed by 0 @.@ 5 knots ( 0 @.@ 93 km / h ; 0 @.@ 58 mph ) to 23 knots ( 43 km / h ; 26 mph ) . To save weight the forecastle deck was shortened so that the lower midships gun turret was lower than in the Fusō class . This reduced the crew 's accommodations despite a significant increase in the crew 's numbers and naval historian Fukui Shizuo believed that these ships had the worst habitability of any Japanese capital ship . The final design was designated A @-@ 92 by the IJN and differed enough from the A @-@ 64 design of the Fusō class that it was considered a separate class . 
","in armour thickness to compensate for this . This was achieved by increasing the thickness of each shell by a factor of 10 , and by reducing the number of shells per shell . In addition , it decided to reduce the amount of armour that could be removed from the hull by the addition of a new shell casing , which would allow the shell to pass through the armour more easily . Finally , as a result of this decision , all the new shells were fitted with an anti-ballistic missile system that was capable of firing at a range of 1,000 m ( 2,500 ft ) . 
  The design was completed in 1945 , but was not completed until the end of World War II , during which time it was used extensively in submarine warfare , in which it served as the main weapon of choice for both the U.S. Navy and the Japanese armed forces as well as as in naval operations in Europe and North Africa , including the invasion of Sicily and Sicily ' s Italian island of Sardinia , where it had been used for more than a decade .","[""in speed to partially counter the higher speeds of the latest foreign ships like the British Queen Elizabeth @-@ class battleships and Russian Borodino @-@ class battlecruisers . For financial reasons more powerful engines could not be ordered so the new design was lengthened slightly and the boiler rooms enlarged to increase speed by 0 @.@ 5 knots ( 0 @.@ 93 km / h ; 0 @.@ 58 mph ) to 23 knots ( 43 km / h ; 26 mph ) . To save weight the forecastle deck was shortened so that the lower midships gun turret was lower than in the Fusō class . This reduced the crew 's accommodations despite a significant increase in the crew 's numbers and naval historian Fukui Shizuo believed that these ships had the worst habitability of any Japanese capital ship . The final design was designated A @-@ 92 by the IJN and differed enough from the A @-@ 64 design of the Fusō class that it was considered a separate class .""]"
119," The ships had a length of 208 @.@ 18 metres ( 683 ft 0 in ) overall , a beam of 28 @.@ 65 metres ( 94 ft 0 in ) and a draught of 8 @.@ 93 metres ( 29 ft 4 in ) at deep load . They displaced 36 @,@ 500 long tons ( 37 @,@ 100 t ) at deep load , roughly 650 long tons ( 660 t ) more than the preceding class . Their crew consisted of 1 @,@ 360 officers and enlisted men . They had a metacentric height of 1 @.@ 737 metres ( 5 ft 8 @.@ 4 in ) at deep load . 
","1 @-@ 1,000 lb ) of cargo . The ship was built in the late 19th century and was commissioned by the Royal Navy in 1887 . It was the first ship to be built by a British navy shipbuilder , and it was one of only two ships to have been commissioned in England during the Second World War . In addition , it served as the flagship of the British Expeditionary Force , which was responsible for the invasion of Normandy in June 1944 .","['37 @,@ 100 t ) at deep load , roughly 650 long tons ( 660 t ) more than the preceding class . Their crew consisted of 1 @,@ 360 officers and enlisted men . They had a metacentric height of 1 @.@ 737 metres ( 5 ft 8 @.@ 4 in ) at deep load .']"
120," During the ships ' modernization during the 1930s , their forward superstructures were enlarged with multiple platforms added to their tripod foremasts . Both ships were also given torpedo bulges to improve their underwater protection and to compensate for the weight of the additional armour . In addition , their sterns were lengthened by 7 @.@ 62 metres ( 25 @.@ 0 ft ) . These changes increased their overall length to 213 @.@ 8 metres ( 701 ft ) , their beam to 31 @.@ 75 metres ( 104 ft 2 in ) and their draft to 9 @.@ 45 metres ( 31 ft 0 in ) . Their displacement increased over 5 @,@ 000 long tons ( 5 @,@ 100 t ) to 42 @,@ 001 long tons ( 42 @,@ 675 t ) at deep load . The crew now numbered 1 @,@ 376 officers and enlisted men . 
",", and increased the length of their superstructure to 210 @ .@ 9 metres .  The ship was also fitted with a new rudder , which allowed the ship to move at a much faster rate than its predecessors , allowing it to be more manoeuvrable and more maneuverable in the event of a collision with an enemy ship . During the Second World War , the hulls of both ships underwent a major overhaul , including the addition of two new propellers to the aft of each hull , replacing the old ones and replacing them with new ones , as well as adding a second propeller at the rear to increase the speed at which they could be used in close quarters combat . The","['( 701 ft ) , their beam to 31 @.@ 75 metres ( 104 ft 2 in ) and their draft to 9 @.@ 45 metres ( 31 ft 0 in ) . Their displacement increased over 5 @,@ 000 long tons ( 5 @,@ 100 t ) to 42 @,@ 001 long tons ( 42 @,@ 675 t ) at deep load . The crew now numbered 1 @,@ 376 officers and enlisted men .']"
121," = = = Propulsion = = = 
",""" = ~ =",['Propulsion = = =']
122," The Ise @-@ class ships had two sets of direct @-@ drive steam turbines , each of which drove two propeller shafts with 3 @.@ 429 @-@ metre ( 11 ft 3 in ) propellers . The high @-@ pressure turbines drove the wing shafts while the low @-@ pressure turbines drove the inner shafts . The turbines were designed to produce a total of 40 @,@ 000 or 45 @,@ 000 shaft horsepower ( 30 @,@ 000 or 34 @,@ 000 kW ) ( Hyūga and Ise respectively ) , using steam provided by 24 Kampon Ro Gō water @-@ tube boilers at working pressures of 13 – 16 @.@ 9 kg / cm2 ( 1 @,@ 275 – 1 @,@ 657 kPa ; 185 – 240 psi ) . Both ships comfortably exceeded their designed speed of 23 knots ( 43 km / h ; 26 mph ) during their sea trials ; Ise reached 23 @.@ 6 knots ( 43 @.@ 7 km / h ; 27 @.@ 2 mph ) from 56 @,@ 498 shp ( 42 @,@ 131 kW ) and Hyūga exceeded that with 24 knots ( 44 km / h ; 28 mph ) from 63 @,@ 211 shp ( 47 @,@ 136 kW ) . Each of the boilers consumed a mixture of coal and oil and the ships had a stowage capacity of 4 @,@ 607 long tons ( 4 @,@ 681 t ) of coal and 1 @,@ 411 long tons ( 1 @,@ 434 t ) of fuel oil , which gave them a range of 9 @,@ 680 nautical miles ( 17 @,@ 930 km ; 11 @,@ 140 mi ) at a speed of 14 knots ( 26 km / h ; 16 mph ) . Ise and Hyūga had three generators of 150 kilowatts ( 200 hp ) capacity and two 250 @-@ kilowatt ( 340 hp ) turbo generators at 225 volts . 
","7 kN ) on the first day of the trials , and the second day was the final test , with the ship cruising at a cruising altitude of 8,000 nautical miles ( 12,500 km ) at the end of its first voyage . During the third day , the propulsion system was fully operational , but during the fourth and fifth days the engines were not operating at full power , so the vessel was not able to reach its cruising speed until the fifth day . On the sixth day the engine was shut down and all propulsion systems were shut off , leaving only the steam turbine to power the main engine , which was powered by a diesel engine . After the seventh and eighth days of testing , both ships reached cruising speeds of 22 – 24 knots / kmh ( 10 – 12 mph / kph ) and reached their cruising altitudes of 30 – 40 km . At the conclusion of their trials in the Sea of Japan , they reached a maximum cruising velocity of 1,200 m / s ( 2,300 ft / m ) / hour .","['7 km / h ; 27 @.@ 2 mph ) from 56 @,@ 498 shp ( 42 @,@ 131 kW ) and Hyūga exceeded that with 24 knots ( 44 km / h ; 28 mph ) from 63 @,@ 211 shp ( 47 @,@ 136 kW ) . Each of the boilers consumed a mixture of coal and oil and the ships had a stowage capacity of 4 @,@ 607 long tons ( 4 @,@ 681 t ) of coal and 1 @,@ 411 long tons ( 1 @,@ 434 t ) of fuel oil , which gave them a range of 9 @,@ 680 nautical miles ( 17 @,@ 930 km ; 11 @,@ 140 mi ) at a speed of 14 knots ( 26 km / h ; 16 mph ) . Ise and Hyūga had three generators of 150 kilowatts ( 200 hp ) capacity and two 250 @-@ kilowatt ( 340 hp ) turbo generators at 225 volts .']"
123," During their 1930s modernization , the boilers on each ship were replaced by eight new Kampon oil @-@ fired boilers , fitted into the former aft boiler room , and the forward funnel was removed . The turbines were replaced by four geared Kampon turbines with a designed output of 80 @,@ 000 shp ( 60 @,@ 000 kW ) intended to increase their speed to 24 @.@ 5 knots ( 45 @.@ 4 km / h ; 28 @.@ 2 mph ) . On her trials , Ise reached a top speed of 25 @.@ 26 knots ( 46 @.@ 78 km / h ; 29 @.@ 07 mph ) from 81 @,@ 050 shp ( 60 @,@ 440 kW ) . The fuel storage of the ships was increased to a total of 5 @,@ 113 long tons ( 5 @,@ 195 t ) of fuel oil that gave them a range of 7 @,@ 870 nautical miles ( 14 @,@ 580 km ; 9 @,@ 060 mi ) at a speed of 16 knots ( 30 km / h ; 18 mph ) . 
","of 25 knots at the time of her maiden voyage , but was unable to reach her destination due to a lack of fuel . She was towed to the port of Hamburg , Germany , where she was met by the German navy , who ordered her to be towed back to Hamburg for repairs . During her journey , she encountered a number of difficulties , including the fact that she had to wait for several hours before she could be refueled , which she did not have the means to do so . In the end , however , it was determined that the ship would be able to return to port without refueling and that it would not be necessary to refuel for the remainder of the voyage .","['of 25 @.@ 26 knots ( 46 @.@ 78 km / h ; 29 @.@ 07 mph ) from 81 @,@ 050 shp ( 60 @,@ 440 kW ) . The fuel storage of the ships was increased to a total of 5 @,@ 113 long tons ( 5 @,@ 195 t ) of fuel oil that gave them a range of 7 @,@ 870 nautical miles ( 14 @,@ 580 km ; 9 @,@ 060 mi ) at a speed of 16 knots ( 30 km / h ; 18 mph ) .']"
124," = = = Armament = = = 
",History of the United States,['Armament = = =']
125," The twelve 45 @-@ calibre 35 @.@ 6 cm ( 14 @.@ 0 in ) Type 41 guns of the Ise class were mounted in three pairs of twin @-@ gun , superfiring turrets . Numbered one through six from front to rear , each turret weighed 655 long tons ( 666 t ) . The hydraulically powered turrets had an elevation capability of − 5 / + 20 degrees . The guns had a rate of fire of 1 @.@ 5 – 2 rounds per minute and could be loaded at any angle between -3 and + 20 degrees . In 1921 the elevation was increased to + 30 degrees and then to + 43 degrees during their mid @-@ 1930s modernization , except for No. 6 turret as its supporting structure could not be lowered . The recoil mechanism of the guns was also changed from a hydraulic to a pneumatic system , which allowed for a faster firing cycle of the main guns . 
","10 rounds per minute , and were capable of firing up to 1,000 rounds in a single shot . They were also equipped with an anti-aircraft system , which allowed them to be fired from the rear of a vehicle . In addition , the guns were fitted with a high-explosive charge system .  The gun was mounted at the front of each gun turret , with the turret facing forward and the gun facing back . Each gun had its own magazine capacity of 2 @ .@ 2 .5 kg ( 2,500 @ kg ) and a maximum range of 20 km ( 12 mi ).","['2 rounds per minute and could be loaded at any angle between -3 and + 20 degrees . In 1921 the elevation was increased to + 30 degrees and then to + 43 degrees during their mid @-@ 1930s modernization , except for No. 6 turret as its supporting structure could not be lowered . The recoil mechanism of the guns was also changed from a hydraulic to a pneumatic system , which allowed for a faster firing cycle of the main guns .']"
126," By World War II , the guns used Type 91 armour @-@ piercing , capped shells . Each of these shells weighed 673 @.@ 5 kilograms ( 1 @,@ 485 lb ) and was fired at a muzzle velocity of 770 – 775 metres per second ( 2 @,@ 530 – 2 @,@ 540 ft / s ) . They had a maximum range of 25 @,@ 000 metres ( 27 @,@ 000 yd ) at + 20 degrees of elevation and 35 @,@ 450 meters ( 38 @,@ 770 yd ) at + 43 degrees after modernization . Also available was a 625 @-@ kilogram ( 1 @,@ 378 lb ) high @-@ explosive shell that had a muzzle velocity of 805 metres per second ( 2 @,@ 640 ft / s ) . A special Type 3 Sanshikidan incendiary shrapnel shell was developed in the 1930s for anti @-@ aircraft use . 
","0.5 km ( 0 – 1 km ) , and were capable of firing up to 1,000 rounds per minute . The Type 90 was the first of its type to be fitted with an anti-aircraft gun . It was used in the Battle of the Bulge in 1944 , during which it was able to penetrate enemy aircraft and destroy them with a single shot . In addition , it had the ability to shoot down a number of aircraft at close range , such as the German Luftwaffe and the British Royal Air Force .","['20 degrees of elevation and 35 @,@ 450 meters ( 38 @,@ 770 yd ) at + 43 degrees after modernization . Also available was a 625 @-@ kilogram ( 1 @,@ 378 lb ) high @-@ explosive shell that had a muzzle velocity of 805 metres per second ( 2 @,@ 640 ft / s ) . A special Type 3 Sanshikidan incendiary shrapnel shell was developed in the 1930s for anti @-@ aircraft use .']"
127," The ships ' secondary armament consisted of twenty 50 @-@ calibre 14 @-@ centimetre Type 3 . Eighteen of these were mounted in casemates in the forecastle and superstructure and the remaining pair were mounted on the deck above them and protected by gun shields . They had a maximum elevation of + 20 degrees which gave them ranges of 16 @,@ 300 metres ( 17 @,@ 800 yd ) . Each gun had a rate of fire of up to 10 rounds per minute . Anti @-@ aircraft defence was provided by four 40 @-@ calibre 3rd Year Type 8 @-@ centimetre AA guns in single mounts . The 7 @.@ 62 @-@ centimetre ( 3 in ) high @-@ angle guns had a maximum elevation of + 75 degrees , and had a rate of fire of 13 to 20 rounds per minute . They fired a 6 kg ( 13 lb ) projectile with a muzzle velocity of 680 m / s ( 2 @,@ 200 ft / s ) to a maximum height of 7 @,@ 500 metres ( 24 @,@ 600 ft ) . The ships were also fitted with six submerged 53 @.@ 3 @-@ centimetre ( 21 @.@ 0 in ) torpedo tubes , three on each broadside . They carried twelve to eighteen 6th Year Type torpedoes which had a 200 @-@ kilogram ( 440 lb ) warhead . They had three settings for range and speed : 15 @,@ 000 metres ( 16 @,@ 000 yd ) at 26 knots ( 48 km / h ; 30 mph ) , 10 @,@ 000 metres ( 11 @,@ 000 yd ) at 32 knots ( 59 km / h ; 37 mph ) , or 7 @,@ 000 metres ( 7 @,@ 700 yd ) at 37 knots ( 69 km / h ; 43 mph ) . 
","muzzle velocity of 1,500 m/s ( 2,000 m /s ) and an effective range of 500 m ( 4, 000 m ) , which was sufficient to destroy a large number of enemy aircraft .  The Type 1 and Type 2 guns were of the same type as the Type I and II guns , but they had different calibres and were fired in different directions . In addition , the gun mantles were made of a different material and bore different numbers of holes , making them more difficult to fire from a distance and making the guns less effective at firing from the sky than they were at the surface . This was due to the fact that the caliber of each gun was different in relation to each other , as well as in terms of how long it would take for the shells to penetrate the hull of an enemy ship . As a result , it was not possible to accurately measure the speed at which the projectiles would travel through the water , or the depth of water in which they would reach the target , because the projectile would not be able to travel at a speed that would allow it to hit a target at such a depth . It was therefore necessary to make sure that each ship had sufficient ammunition to defend itself against the incoming projectiles , so that they could be fired at any time during the day or night , when the weather was favourable and there was no danger of being hit by the enemy","['muzzle velocity of 680 m / s ( 2 @,@ 200 ft / s ) to a maximum height of 7 @,@ 500 metres ( 24 @,@ 600 ft ) . The ships were also fitted with six submerged 53 @.@ 3 @-@ centimetre ( 21 @.@ 0 in ) torpedo tubes , three on each broadside . They carried twelve to eighteen 6th Year Type torpedoes which had a 200 @-@ kilogram ( 440 lb ) warhead . They had three settings for range and speed : 15 @,@ 000 metres ( 16 @,@ 000 yd ) at 26 knots ( 48 km / h ; 30 mph ) , 10 @,@ 000 metres ( 11 @,@ 000 yd ) at 32 knots ( 59 km / h ; 37 mph ) , or 7 @,@ 000 metres ( 7 @,@ 700 yd ) at 37 knots ( 69 km / h ; 43 mph ) .']"
128," In 1931 – 33 the AA guns were replaced with eight 40 @-@ caliber 12 @.@ 7 cm ( 5 @.@ 0 in ) Type 89 dual @-@ purpose guns , fitted on both sides of the forward superstructures in four twin @-@ gun mounts . When firing at surface targets , the guns had a range of 14 @,@ 700 metres ( 16 @,@ 100 yd ) ; they had a ceiling of 9 @,@ 440 metres ( 30 @,@ 970 ft ) at their maximum elevation of + 90 degrees . Their maximum rate of fire was 14 rounds a minute , but their sustained rate of fire was around eight rounds per minute . Two twin @-@ gun mounts for license @-@ built Vickers two @-@ pounder light AA guns were also added . These guns had a maximum elevation of + 80 degrees and a rate of fire of 200 rounds per minute . The pair of 14 cm guns on the upper deck were removed at this time . 
","range , and were capable of firing up to 100 @ and@ 1,000 rounds per minute . The AA gun was replaced by the Type 90 and Type 91 guns in 1932 and 1933 , respectively . In 1934 , a Type 92 was added to the arsenal , which was fitted with a single-shot gun mounted on the rear of its gun mount .  The Type 93 was introduced in 1935 and was used for the first time during the Second World War , during which time it became the primary weapon of choice for both the British and American forces . It was also used in the Battle of Britain , in which it proved to be a decisive blow against the Axis forces , as well as in Operation Barbarossa , where it was able to halt the advance of Allied forces","['elevation of + 90 degrees . Their maximum rate of fire was 14 rounds a minute , but their sustained rate of fire was around eight rounds per minute . Two twin @-@ gun mounts for license @-@ built Vickers two @-@ pounder light AA guns were also added . These guns had a maximum elevation of + 80 degrees and a rate of fire of 200 rounds per minute . The pair of 14 cm guns on the upper deck were removed at this time .']"
129," During the mid @-@ 1930s reconstruction the torpedo tubes were removed and the Vickers two @-@ pounders were replaced by twenty license @-@ built Hotchkiss 25 mm Type 96 light AA guns in 10 twin @-@ gun mounts . This was the standard Japanese light AA gun during World War II , but it suffered from severe design shortcomings that rendered it a largely ineffective weapon . According to historian Mark Stille , the twin and triple mounts "" lacked sufficient speed in train or elevation ; the gun sights were unable to handle fast targets ; the gun exhibited excessive vibration ; the magazine was too small , and , finally , the gun produced excessive muzzle blast "" . These 25 @-@ millimetre ( 0 @.@ 98 in ) guns had an effective range of 1 @,@ 500 – 3 @,@ 000 metres ( 1 @,@ 600 – 3 @,@ 300 yd ) , and an effective ceiling of 5 @,@ 500 metres ( 18 @,@ 000 ft ) at an elevation of 85 degrees . The maximum effective rate of fire was only between 110 and 120 rounds per minute because of the frequent need to change the fifteen @-@ round magazines . In addition the forward pair of 14 cm guns in the forecastle were removed at this time and the maximum elevation of the remaining guns was increased to + 30 degrees . 
",". In the early 1940s , a new design was introduced to replace the old one , which had been in use for a number of years . The new gun had a longer barrel and a larger magazine . It was designed to be fired from the front of the ship , rather than the rear , as the previous design had done . As a result of this design , it was not possible to fire a single torpedo at a time , making it unsuitable for long-range combat .  The torpedo tube was replaced with a smaller, lighter and more powerful version of its predecessor by the same name in the late 1950s and early 1960s . At the time of writing , there are no reports of any such changes to the design of these guns , although some have suggested that they may have been modified in some way to make them more effective against enemy submarines , such as by reducing the speed at which they could be launched by firing them at high altitudes , or by increasing the range of their torpedoes to allow them to hit targets less than 50 nautical miles away from their target . However , these changes have not been","['"" . These 25 @-@ millimetre ( 0 @.@ 98 in ) guns had an effective range of 1 @,@ 500 – 3 @,@ 000 metres ( 1 @,@ 600 – 3 @,@ 300 yd ) , and an effective ceiling of 5 @,@ 500 metres ( 18 @,@ 000 ft ) at an elevation of 85 degrees . The maximum effective rate of fire was only between 110 and 120 rounds per minute because of the frequent need to change the fifteen @-@ round magazines . In addition the forward pair of 14 cm guns in the forecastle were removed at this time and the maximum elevation of the remaining guns was increased to + 30 degrees .']"
130," = = = Protection = = = 
",History of the United States,['Protection = = =']
