,examples,predictions,references
130," = = = Protection = = = 
",: = @ =,['Protection = = =']
131," The Ise @-@ class ships ' waterline protective belt had a maximum thickness of 299 mm ( 11 @.@ 8 in ) of Vickers cemented armour amidships ; below it was a strake of 100 mm ( 3 @.@ 9 in ) armour . The upper armoured deck consisted of two layers of high @-@ tensile steel 55 mm ( 2 @.@ 2 in ) thick and the lower armoured deck also consisted of two layers of high @-@ tensile steel , but only 30 mm ( 1 @.@ 2 in ) thick . The sides of this deck sloped downwards to meet the bottom of the lower strake of the belt armour . The ends of the belt armour were closed off by bulkheads that ranged in thickness from 203 to 102 mm ( 8 to 4 in ) . The turrets were protected with an armour thickness of 254 mm ( 10 in ) on the face and 76 mm on the roof . The casemate armour was 149 mm ( 5 @.@ 9 in ) thick and that of the barbettes was 299 mm thick rather than the originally planned 305 mm . The sides of the conning tower were 305 mm thick . 
","the stern of the ship ; the upper deck was covered with a thick layer of reinforced concrete .  The deck armour was reinforced by a reinforced steel plate , which was attached to the deck by two steel plates , each of which weighed about 1,000 kg ( 4,500 lb ) , and was mounted on the hull by an iron plate . In addition , the decks were reinforced with an armour plate that was thick enough to withstand the weight of a large ship , such as a battleship , for a period of at least 10 years . It was possible to construct a deck with the same thickness as that used in the original design , although this was not possible at the time , due to a lack of structural support for the bulkheads and other structural elements . On the other hand , it is possible that the new deck could have been constructed using a combination of steel and concrete , as well as other materials that were",['the bottom of the lower strake of the belt armour . The ends of the belt armour were closed off by bulkheads that ranged in thickness from 203 to 102 mm ( 8 to 4 in ) . The turrets were protected with an armour thickness of 254 mm ( 10 in ) on the face and 76 mm on the roof . The casemate armour was 149 mm ( 5 @.@ 9 in ) thick and that of the barbettes was 299 mm thick rather than the originally planned 305 mm . The sides of the conning tower were 305 mm thick .']
132," The Ise class were the only Japanese battleships to place the powder magazine above the shell magazine as the IJN wished to put as much space as possible between the highly flammable propellant and mine and torpedo detonations . The danger from plunging shells at long distances was not appreciated until the fatal magazine explosions of three British battlecruisers during the 1916 Battle of Jutland graphically demonstrated the point . To further protect the magazines the depth of the double bottom was increased to a total of 3 @.@ 58 metres ( 11 ft 9 in ) underneath the barbettes and magazines . Additionally , the vessels contained 660 watertight compartments to preserve buoyancy in the event of battle damage . In addition to the torpedo bulge added when the ships were modernized , the deck armour over the machinery and magazines was increased to a total thickness of 140 mm . Inside the original skin of the ships , two torpedo bulkheads were also added and the turret roofs were increased to a total of 152 millimetres ( 6 in ) of armour . 
","7 @-@ 12 in ) . 
  The IjN was the first Japanese cruiser to use the magazine in the form of a single magazine , and the second to do so with a double magazine . It was first used by the U.S. Navy during World War II , but it was never used again until after the war ended in 1945 , when it became the most widely used weapon in naval warfare , as well as a weapon of mass destruction for the Japanese navy and air force , in addition to being one of only a handful of weapons that could be used in combat .","['11 ft 9 in ) underneath the barbettes and magazines . Additionally , the vessels contained 660 watertight compartments to preserve buoyancy in the event of battle damage . In addition to the torpedo bulge added when the ships were modernized , the deck armour over the machinery and magazines was increased to a total thickness of 140 mm . Inside the original skin of the ships , two torpedo bulkheads were also added and the turret roofs were increased to a total of 152 millimetres ( 6 in ) of armour .']"
133," = = = Fire control and sensors = = = 
",=   ==,['and sensors = = =']
134," While the details of the ship 's fire @-@ control instruments are not fully available , it is known that the ships were fitted with a fire @-@ control director after completion . No computer was fitted at that time and data from the rangefinders had to be processed manually . Turrets 2 , 3 , and 5 were built with imported 6 @-@ metre ( 19 ft 8 in ) Bausch & Lomb rangefinders . These were felt to be inferior to the British Barr & Stroud instruments used on other ships and were removed in 1920 . They were replaced by either the British rangefinders or domestically built instruments of 6 or 8 metres ( 19 ft 8 in or 26 ft 3 in ) length . In the late 1920s the fire @-@ control systems were upgraded and additional platforms were added to the foremast to accommodate them . A pair of directors for the 12 @.@ 7 cm AA guns were added , one on each side of the forward superstructure , in the early 1930s . The fire @-@ control systems were again upgraded in the mid @-@ 1930s and directors were added for the 25 mm AA guns . Both ships had 10 @-@ metre ( 32 ft 10 in ) rangefinders installed at the top of the pagoda mast at that time . Type 21 air @-@ search radars were installed aboard the sisters in mid @-@ 1942 . 
","ft 6 in ), respectively . The rangefinder was installed in the turret of one of these ships , but it was not installed on any other ship . It is believed that this was the first time that a turret was mounted on a British ship , as it had not been fitted before the war . In addition , there were reports of damage to turrets 2 and 3 at the time of their installation , with the damage reported to have been in excess of $100,000 . A report by the U.S. Naval Historical Center in New York states that there was ""no evidence that any damage had been done to turret 2 or 3 in any way during the period of its installation . "" The report further states : "" There is no indication that damage was caused to any turret 3 or 4 at any time during this period ; however, there is a possibility that some damage may have occurred to one or more turrets 3 and 4 .""","['ft 3 in ) length . In the late 1920s the fire @-@ control systems were upgraded and additional platforms were added to the foremast to accommodate them . A pair of directors for the 12 @.@ 7 cm AA guns were added , one on each side of the forward superstructure , in the early 1930s . The fire @-@ control systems were again upgraded in the mid @-@ 1930s and directors were added for the 25 mm AA guns . Both ships had 10 @-@ metre ( 32 ft 10 in ) rangefinders installed at the top of the pagoda mast at that time . Type 21 air @-@ search radars were installed aboard the sisters in mid @-@ 1942 .']"
135," = = = Aircraft = = = 
",History of the United States,['Aircraft = = =']
136," Ise was briefly fitted with an aircraft flying @-@ off platform for a Mitsubishi 1MF3 fighter on Turret No. 2 in 1927 . It was replaced by a platform on Turret No. 5 for a Yokosuka E1Y reconnaissance floatplane in 1928 – 29 . A catapult and a collapsible 4 @-@ tonne ( 3 @.@ 9 @-@ long @-@ ton ) crane were fitted on the stern during the mid @-@ 1930s modernization , and the ships were equipped to operate three floatplanes , although no hangar was provided . The initial Nakajima E4N2 biplanes were replaced by Nakajima E8N2 biplanes in 1938 . 
","propeller were added to the fuselage of the aircraft in 1929 . The aircraft was later modified to fly at Mach 1 . In 1930 , it was converted to a single-engine aircraft , and in 1931 it became the first aircraft to be built in the United States .","['( 3 @.@ 9 @-@ long @-@ ton ) crane were fitted on the stern during the mid @-@ 1930s modernization , and the ships were equipped to operate three floatplanes , although no hangar was provided . The initial Nakajima E4N2 biplanes were replaced by Nakajima E8N2 biplanes in 1938 .']"
137," = = Conversion to hybrid carriers = = 
",the English language = =,['hybrid carriers = =']
138," The sinking of the British capital ships Prince of Wales and Repulse by Japanese land @-@ based aircraft on 10 December 1941 led the IJN to realize that battleships could not operate in the face of enemy aircraft and required friendly air support to protect them . The loss of four Japanese aircraft carriers during the Battle of Midway in June 1942 severely limited the ability of the IJN to provide any air cover and alternatives were sought . Earlier proposals to convert one or more battleships into carriers had been made and rejected at the beginning of the war , but they were revived after Midway . Plans for more elaborate conversions were rejected on the grounds of expense and , most critically , time , and the IJN settled on removing the rear pair of turrets and replacing them with a flight deck equipped with two catapults to launch floatplanes . The Ise @-@ class ships were selected for the conversion because Hyūga had suffered an explosion in Turret No. 5 in early May that virtually destroyed the turret and their Turret No. 6 could not elevate to the full + 43 degrees deemed necessary for the long @-@ range engagement anticipated by the IJN . The Fusōs were scheduled to follow once the first two were completed . 
","an amphibious assault on the Japanese fleet were shelved after the end of World War II , with the intention of replacing them with a new type of battleship . However , this was not to be the case , and in March 1942 , the Japan Maritime Self-Defense Force ( JMSDF ) announced that it would not be able to carry out its planned attack on Pearl Harbor , despite the fact that the US Navy had already launched a series of attacks on Japanese naval vessels . In the wake of this decision , Japan was forced to withdraw from the South China Sea and withdraw its forces from South Korea and Taiwan , which were part of its territorial claims to the North Sea . Japan continued to maintain a naval presence in East Asia until 1945 , when it joined the United Nations as a permanent member .","['more elaborate conversions were rejected on the grounds of expense and , most critically , time , and the IJN settled on removing the rear pair of turrets and replacing them with a flight deck equipped with two catapults to launch floatplanes . The Ise @-@ class ships were selected for the conversion because Hyūga had suffered an explosion in Turret No. 5 in early May that virtually destroyed the turret and their Turret No. 6 could not elevate to the full + 43 degrees deemed necessary for the long @-@ range engagement anticipated by the IJN . The Fusōs were scheduled to follow once the first two were completed .']"
139," = = = Armament changes = = = 
",: =,['changes = = =']
140," The rear turrets , the barbettes and their supporting structures were removed beginning in early 1943 and the openings in the middle deck were covered by 152 mm plates salvaged from the turret armour . All of the 14 cm guns were removed and the casemate openings sealed off . Four additional twin 12 @.@ 7 cm mounts were added , one pair abreast the funnel and the other abreast the conning tower . The original ten twin 25 mm gun mounts were replaced by triple mounts and nine new triple mounts were added , a total of 57 guns . Two each Type 94 and Type 95 AA directors were added to control the additional guns . The ammunition for these new guns was stored in the magazines originally used for the 14 cm guns and for Turret No. 5 . During 1944 , the ships ' AA defences were reinforced with an additional dozen triple and eleven single 25 mm gun mounts , for a total of 104 barrels , and a pair of Type 13 early warning radars were added . In September six 30 @-@ round AA rocket launchers were added on the sides of the flight deck . 
","In addition to the new guns , there were also a number of other changes , most notably the addition of a new gun turret and two new turrets . These changes were made in response to a request by the German military for a complete overhaul of their existing gun turrets in order to reduce the cost of replacing them with new ones . A new turret was also added to replace the old one , which had been in service for more than a decade , and was later replaced with an improved turret .  The turret design was changed from a single turret to two , with the latter being mounted on the left side of each turret , while the former was mounted at the right side and on both sides of both turrets ; this change was made to ensure that the two turrets could be used together to fire the main gun at close range , as well as to allow the gun to be mounted in close proximity to each other in case of an enemy attack ;","[""Two each Type 94 and Type 95 AA directors were added to control the additional guns . The ammunition for these new guns was stored in the magazines originally used for the 14 cm guns and for Turret No. 5 . During 1944 , the ships ' AA defences were reinforced with an additional dozen triple and eleven single 25 mm gun mounts , for a total of 104 barrels , and a pair of Type 13 early warning radars were added . In September six 30 @-@ round AA rocket launchers were added on the sides of the flight deck .""]"
141," = = = Flight deck arrangements = = = 
",of the Titanic =,['deck arrangements = = =']
142," A 70 @-@ metre @-@ long ( 229 ft 8 in ) flight deck was built above the stern and stretched forward to the rebuilt aft superstructure . The flight deck was 29 metres ( 95 ft 2 in ) wide at its forward end and 13 metres ( 42 ft 8 in ) at the stern . It overhung the stern and increased the overall length of the ships to 219 @.@ 62 metres ( 720 ft 6 in ) . A pair of rotating gunpowder @-@ propelled catapults were fitted on the sides of the hull , forward of the aft superstructure where they partially restricted the arc of fire of the two amidships turrets . They could launch aircraft up to 4 @,@ 600 kilograms ( 10 @,@ 100 lb ) in weight and required 30 seconds to launch each aircraft . The flight deck had eight permanent storage positions connected by rails to the catapults and the hydraulically operated aircraft lift that brought the aircraft up from the hangar below on the trolleys used to move the floatplanes about . Two aircraft were intended to be stowed on the catapults and three more in temporary positions on the flight deck for a total of thirteen . 
","they could be used to propel the ship forward and aft . In addition , the deck had a retractable landing gear , which allowed the crew to land safely in the water at a safe distance from the shoreline . At the time of its construction , it was the only ship to have been built on a single deck , and was intended to be completed by the end of World War II . During the war , a number of other ships were built , but none of them were completed until the late 1940s . 
  The original design was completed in 1945 , with the final design being commissioned in 1946 . Construction began in 1949 , when the first ship was commissioned , followed by a second ship in 1952 .","['they partially restricted the arc of fire of the two amidships turrets . They could launch aircraft up to 4 @,@ 600 kilograms ( 10 @,@ 100 lb ) in weight and required 30 seconds to launch each aircraft . The flight deck had eight permanent storage positions connected by rails to the catapults and the hydraulically operated aircraft lift that brought the aircraft up from the hangar below on the trolleys used to move the floatplanes about . Two aircraft were intended to be stowed on the catapults and three more in temporary positions on the flight deck for a total of thirteen .']"
143," The 40 @-@ metre @-@ long ( 131 ft 3 in ) hangar was 20 metres ( 65 ft 7 in ) wide forward and 11 metres ( 36 ft 1 in ) at the rear . It was 6 metres ( 19 ft 8 in ) high and designed to stow nine aircraft . It was fitted with fire fighting foam and carbon dioxide dispensers as a result of wartime experience . The ' T ' -shaped lift was 12 @.@ 1 metres ( 39 ft 8 in ) wide at its forward end and 6 @.@ 6 metres ( 21 ft 8 in ) wide at the its aft end . It was 12 @.@ 1 metres long and had a capacity of 6 tonnes ( 5 @.@ 9 long tons ) . Petrol storage tanks with a capacity of 76 tonnes ( 75 long tons ) were installed in the former magazine of Turret No. 6 to provide each aircraft with enough fuel for three sorties . To recover the aircraft the collapsible crane formerly on the stern was moved up to the port side of the flight deck . Another crane was intended on the starboard side , but it was never fitted . 
","in ) deep aft , and it was equipped with a retractable landing gear and a hydraulic lift system to lift the aircraft out of the hangar and into the air . 
  The aircraft was operated by a crew of four , including a pilot and two aircrew members , who had been assigned to the T-shaped hangar by the British Air Force during the Second World War , during which time they were responsible for the maintenance and repair of aircraft in the event of an attack on Britain , as well as the repair and replacement of damaged or damaged engines and propellers , which were used to power the engines of other aircraft , such as helicopters , tanks , fighter jets and submarines .","['in ) wide at the its aft end . It was 12 @.@ 1 metres long and had a capacity of 6 tonnes ( 5 @.@ 9 long tons ) . Petrol storage tanks with a capacity of 76 tonnes ( 75 long tons ) were installed in the former magazine of Turret No. 6 to provide each aircraft with enough fuel for three sorties . To recover the aircraft the collapsible crane formerly on the stern was moved up to the port side of the flight deck . Another crane was intended on the starboard side , but it was never fitted .']"
144," The ships had an air group of 11 each of Yokosuka D4Y dive bombers ( Allied reporting name "" Judy "" ) and Aichi E16A reconnaissance aircraft ( Allied reporting name "" Paul "" ) Both aircraft had development problems and neither air group ever had all of its intended aircraft . Coupled with a shortage of trained pilots , neither ship ever used its aircraft during combat . 
","). The aircraft had a range of 1,000 nautical miles ( 2,500 km ) , and were capable of carrying a maximum of 2.5 tons of bombs . The bombers were equipped with an anti-aircraft missile system , which was mounted on the fuselage of the aircraft .","[') Both aircraft had development problems and neither air group ever had all of its intended aircraft . Coupled with a shortage of trained pilots , neither ship ever used its aircraft during combat .']"
145," = = = Other changes = = = 
",: ==,['changes = = =']
146," After the loss of the fast battleship Hiei at the Naval Battle of Guadalcanal in late 1942 to rudder damage , the IJN decided to reinforce the protection of the steering compartment and to create an auxiliary steering compartment . The protection of the former was strengthened by the addition of a concrete wall at least 1 metre ( 3 ft 3 in ) in thickness and some of the armour removed from the turrets was used to protect the latter . The double bottom below the former positions of aft turrets was converted to hold fuel oil ; this increased the ships ' endurance to 9 @,@ 500 nautical miles ( 17 @,@ 600 km ; 10 @,@ 900 mi ) at a speed of 16 knots . A pair of Type 22 surface @-@ search radars were also fitted during the conversion . 
","from the deck . This wall was reinforced by a reinforced steel plate , which was attached to the hull by an iron bar . 
  The IjN was commissioned in April 1943 , and in March 1944 it was transferred to a naval base in the Philippines , where it continued to operate until the end of World War II , during which time it served as a base of operations for the U.S. Navy and Marine Corps , as well as as in support of Operation Enduring Freedom , Operation Desert Storm and Operation Barbarossa .","[""from the turrets was used to protect the latter . The double bottom below the former positions of aft turrets was converted to hold fuel oil ; this increased the ships ' endurance to 9 @,@ 500 nautical miles ( 17 @,@ 600 km ; 10 @,@ 900 mi ) at a speed of 16 knots . A pair of Type 22 surface @-@ search radars were also fitted during the conversion .""]"
147," The removal of the secondary armament , the rear turrets and their supporting structures was generally compensated by the addition of the flight deck , hangar , AA guns and more fuel , and the metacentric height increased .23 metres ( 9 @.@ 1 in ) to 2 @.@ 81 metres ( 9 ft 3 in ) at full load as a result of the reduction in the displacement by over 2 @,@ 000 tonnes ( 2 @,@ 000 long tons ) to 40 @,@ 444 tonnes ( 39 @,@ 805 long tons ) . This also reduced the draught to 9 @.@ 03 metres ( 29 ft 8 in ) . The overhang of the flight deck at the stern increased the overall length to 219 @.@ 62 metres ( 720 ft 6 in ) and the beam was slightly reduced to 31 @.@ 71 metres ( 104 ft 0 in ) . 
",",000 @-@ 3 @ 000 kg ) .24 The main gun was replaced by a new gun , which was mounted on the main turret .25 The turret was also replaced with a second gun .26 In addition to the new guns , there were also a number of other changes .27 The first of these was the introduction of an anti-aircraft missile system .28 The second change was to replace the primary gun with an air-to-surface missile .29 The third change involved the installation of a radar antenna .30","['@,@ 000 long tons ) to 40 @,@ 444 tonnes ( 39 @,@ 805 long tons ) . This also reduced the draught to 9 @.@ 03 metres ( 29 ft 8 in ) . The overhang of the flight deck at the stern increased the overall length to 219 @.@ 62 metres ( 720 ft 6 in ) and the beam was slightly reduced to 31 @.@ 71 metres ( 104 ft 0 in ) .']"
148," = = Ships = = 
",=,['Ships = =']
149," = = Service = = 
",= History =,['Service = =']
150," Upon commissioning , the sister ships were assigned to the 1st Battleship Division of the 1st Fleet . Hyūga had an explosion in one of her main gun turrets that killed 11 men and injured 25 in 1919 ; the following year she accidentally collided with and sank a schooner , losing two crewmen . Before the start of the Pacific War , both ships frequently exercised off the coasts of the Soviet Union , Korea and China in addition to training in Japanese waters . Ise hosted Edward , Prince of Wales , and his aide @-@ de @-@ camp Lieutenant Louis Mountbatten in 1922 during the prince 's visit to Japan . In Korea Bay when the 1923 Great Kantō earthquake struck , they sailed to Kyushu where they loaded supplies from for the victims on 4 September . Together with two other battleships and a pair of light cruisers , Ise sank the destroyer Yayoi in 1926 during gunnery practice . Ise 's AA armament was upgraded in 1931 and Hyūga 's two years later . The latter ship was modernized in 1934 – 36 and Ise in 1935 – 37 , both at Kure Naval Arsenal . During the Second Sino @-@ Japanese War , the sisters frequently patrolled the Chinese coast in support of the blockade imposed by Japan . In August 1937 Hyūga ferried two battalions of Special Naval Landing Forces to Port Arthur . Three years later , she served as the flagship for the Emperor of the puppet state of Manchukuo , Henry Pu @-@ yi , during his state visit to Japan in June 1940 . On 15 November the ships were transferred to the 2nd Battleship Division of the 1st Fleet . The sisters were refitted in late 1940 in preparation for war , which included the fitting of external degaussing coils and additional AA directors . 
",", which had been under attack from the Japanese for more than a month . The ship was sunk by a Japanese torpedo on the way back to Yokohama , but the survivors were rescued by the crew of a merchant vessel .  The next day , after the disaster , Edward and Prince Edward visited Japan and met with the Emperor at the Imperial Palace in Tokyo , where he ordered the evacuation of all Japanese citizens from their homes , including those who were in the vicinity of their home ports , as well as the families of those killed or injured . After the war , however , it was not until the end of World War II that the United States formally recognized Japan as an independent nation , recognizing it as a sovereign nation under Article II of U.S. Constitution , a treaty signed by President Franklin D. Roosevelt in 1945 , in which Japan was formally declared a state of national unity under the Treaty of Versailles , ending the War of 1812 and establishing the Republic of Japan , with Japan becoming the first state to formally recognize the independence of its own people and establish diplomatic relations with other nations . During the Korean War and the Russo-Japanese Wars , Japan became a major trading partner of China , Taiwan , Hong Kong , South Korea , Vietnam , Singapore , Malaysia , Brunei Darussalam , Cambodia , Laos , Thailand , Myanmar , Viet Nam , Pakistan , Sri Lanka , Tajikistan , Turkmenistan and Uzbekistan . At the same time , China","[""in 1926 during gunnery practice . Ise 's AA armament was upgraded in 1931 and Hyūga 's two years later . The latter ship was modernized in 1934 – 36 and Ise in 1935 – 37 , both at Kure Naval Arsenal . During the Second Sino @-@ Japanese War , the sisters frequently patrolled the Chinese coast in support of the blockade imposed by Japan . In August 1937 Hyūga ferried two battalions of Special Naval Landing Forces to Port Arthur . Three years later , she served as the flagship for the Emperor of the puppet state of Manchukuo , Henry Pu @-@ yi , during his state visit to Japan in June 1940 . On 15 November the ships were transferred to the 2nd Battleship Division of the 1st Fleet . The sisters were refitted in late 1940 in preparation for war , which included the fitting of external degaussing coils and additional AA directors .""]"
151," = = = World War II = = = 
",War I,['War II = = =']
152," When Japan began the Pacific War on 8 December , the sisters sortied for the Bonin Islands with four other battleships and the light carrier Hōshō as distant cover for the fleet attacking Pearl Harbor , and returned six days later . On 11 March 1942 Ise and Hyūga sortied from their anchorage at Hashirajima to join the unsuccessful search for the American carrier force that had attacked Marcus Island a week earlier . Similarly they pursued but did not catch the American carriers that had launched the Doolittle Raid on 18 April . 
","kai , a Japanese naval officer who had been stationed at the port of Yokosuka , reported to the admiral that he had received a message from the Japanese navy informing him of the impending attack on Pearl Harbour . The message indicated that the attack was imminent and that Japan was prepared to defend the islands .",['and Hyūga sortied from their anchorage at Hashirajima to join the unsuccessful search for the American carrier force that had attacked Marcus Island a week earlier . Similarly they pursued but did not catch the American carriers that had launched the Doolittle Raid on 18 April .']
153," During gunnery training on 5 May , there was a premature detonation in the left gun of Hyūga 's Turret No. 5 that disabled both guns and killed 51 crewmen . Both aft magazines were flooded to douse the resulting fire and save the ship . She received temporary repairs during which the turret was removed and replaced by a circular armour plate on which three triple 25 mm gun mounts were positioned . On 11 May a valve in Ise 's No. 2 engine room stuck in the open position and flooded the engine room . While under repair at Kure , both ships received prototype Type 21 radars . Commanded by Vice @-@ Admiral Shirō Takasu , the 2nd Battleship Division set sail with the Aleutian Support Group on 28 May , at the same time that most of the Imperial Fleet began an attack on Midway Island ( Operation MI ) . 
","she was towed to the port of Yokohama , Japan , where it was repaired by the Japanese Maritime Self-Defense Force ( JMSDF ) . The ship was then towed back to Yokoyama to be repaired again . In the meantime , the crew was evacuated to a nearby airfield where they were treated for hypothermia . During the evacuation , a crew member was killed and two crew members were injured in a firefight with the enemy . After the initial fire was extinguished , it became apparent that the two guns had been fired at each other .","[""a valve in Ise 's No. 2 engine room stuck in the open position and flooded the engine room . While under repair at Kure , both ships received prototype Type 21 radars . Commanded by Vice @-@ Admiral Shirō Takasu , the 2nd Battleship Division set sail with the Aleutian Support Group on 28 May , at the same time that most of the Imperial Fleet began an attack on Midway Island ( Operation MI ) .""]"
154," They returned home on 14 June and the IJN began preliminary planning to replace the lost carriers with hybrid carriers converted from battleships . The sisters were selected for conversion and detached from the division on 14 July in preparation . They remained on "" standby alert "" until the actual conversions began . Ise was converted at Kure Naval Arsenal from 23 February to 5 September 1943 and Hyūga at Sasebo Naval Arsenal from 2 May to 30 November . 
","for the launch of a new fleet . On 15 July , the first of the new carriers was delivered to the fleet , and on 16 July the remaining two carriers were delivered . By the end of August , all three carriers had been converted to battlecruisers .","['. They remained on "" standby alert "" until the actual conversions began . Ise was converted at Kure Naval Arsenal from 23 February to 5 September 1943 and Hyūga at Sasebo Naval Arsenal from 2 May to 30 November .']"
155," After completing her sea trials , Ise was attached to the Imperial Japanese Naval Academy at Etajima and ferried troops and munitions to the naval base at Truk in October . In November the ship began working up , joined by the newly completed Hyūga the following month , and both rejoined the 2nd Battleship Division . On 1 May 1944 , the sisters were transferred to Rear Admiral Matsuda Chiaki 's reformed Fourth Carrier Division of the 3rd Fleet . The division 's 634th Naval Air Group was formed that same day and conducted its first catapult launches in late June . 
","ships were ready to sail to Yokosuka in December . On December 1 , the first of the two ships arrived at the Yokohama port , where they were greeted by a large contingent of Japanese naval officers . The first ship arrived on December 2 , with the second ship scheduled to arrive on January 1 . By the end of January , all three ships had completed their trials and were on their way to Tokyo .","[""rejoined the 2nd Battleship Division . On 1 May 1944 , the sisters were transferred to Rear Admiral Matsuda Chiaki 's reformed Fourth Carrier Division of the 3rd Fleet . The division 's 634th Naval Air Group was formed that same day and conducted its first catapult launches in late June .""]"
156," = = = = Battle of Cape Engaño = = = = 
",the Bulge =,['Cape Engaño = = = =']
157," Shortages of aircraft and serviceability problems greatly retarded pilot training and the ships only had a total of 17 D4Ys and 18 E16As on hand on 1 October ; of these , only 6 and 16 were operational , respectively . The Japanese plan for the defence of the Philippines envisioned that the surviving carriers would be used to lure the American carrier forces away from the invasion area to a position where the carriers could be attacked by land @-@ based aircraft and the transports by the rest of the IJN . The other carrier air groups were not in much better shape and the Japanese decided to retain the aircraft ashore for use against the American carriers . The Fourth Carrier Division was assigned to the Northern Force under the command of Vice Admiral Jisaburō Ozawa and the sisters sailed from Yashima on 20 October . On the morning of 24 October , the bulk of the few aircraft aboard were launched to attack the American carriers as a distraction . They inflicted no damage and caused the Americans to search in the direction from which they had attacked . The Americans finally spotted the Japanese carriers at 16 : 40 , some 200 miles ( 320 km ) east of Cape Engaño , the northeastern tip of Luzon . The American carriers were spread out and it was very late in the day to launch an airstrike , so Admiral William Halsey , commander of the Third Fleet decided to mass his carriers in a position to attack the following morning . Ozawa reversed course during the night , correctly believing that the Americans would follow him north . 
","of Admiral Yamamoto were assigned the task of defending the Philippine Islands from Japanese attack . On 2 October , the Seventh Carrier Group was ordered to attack the U.S. Pacific Fleet , and on 3 October the Eighth Carrier Squadron was sent to assist in the defense of Manila . In the event of an attack on Manila , it would have been the first time that a carrier squadron had been deployed in a major amphibious operation . By the end of November , however , there were only two carriers left in Philippine waters , one of which was sunk by an American destroyer . 
  The Second and Third Carrier Divisions were the only carriers to be lost in action during the Battle of Leyte , which ended with the surrender of Philippine forces to Japanese forces on 2 December , but the remaining carriers remained in service until 1 January , when they were ordered out of service for a period of three months , during which time they became operational .","['sailed from Yashima on 20 October . On the morning of 24 October , the bulk of the few aircraft aboard were launched to attack the American carriers as a distraction . They inflicted no damage and caused the Americans to search in the direction from which they had attacked . The Americans finally spotted the Japanese carriers at 16 : 40 , some 200 miles ( 320 km ) east of Cape Engaño , the northeastern tip of Luzon . The American carriers were spread out and it was very late in the day to launch an airstrike , so Admiral William Halsey , commander of the Third Fleet decided to mass his carriers in a position to attack the following morning . Ozawa reversed course during the night , correctly believing that the Americans would follow him north .']"
158," Although they had lost contact during the night , the Americans did find the Japanese carriers at 07 : 35 . They had already launched an airstrike of 180 aircraft that was orbiting 50 miles ( 80 km ) ahead of the American carriers while waiting for the Japanese ships to be located . This was just the first of a total of five airstrikes that the Americans launched that day . The sisters were not heavily engaged by the early airstrikes which are focusing on the group 's aircraft carriers . Ise claimed to have shot down five attacking dive bombers from the second wave and one small bomb detonated on Turret No. 2 . Hyūga was lightly damaged by near misses that rupture some hull plating in her bulge and pepper her superstructure with splinters . She took on a 5 @-@ degree list that was quickly corrected before she was ordered to tow the crippled carrier Chiyoda to safety . Her attempt was unsuccessful and Chiyoda had to be abandoned to her fate . 
","of Japanese warships that were in the area at the time . On the other hand , they were attacked by a small number of American ships that had been sent to intercept them . In addition , there were reports that Japanese forces had taken control of several Japanese merchant ships and that American forces were on their way to attack the Pearl Harbor attack . As a result of these reports , both the United States and Japan were forced to withdraw from the South China Sea in order to avoid a collision with the Chinese navy .  The Japanese navy continued to maintain close contact with their American counterparts , and the two navies remained in close proximity to each other for a period of time until the end of World War II , during which time the U.S. and Japanese naval forces began to engage in a series of joint naval exercises . During this period , American warships were engaged in several naval engagements , including the","[""'s aircraft carriers . Ise claimed to have shot down five attacking dive bombers from the second wave and one small bomb detonated on Turret No. 2 . Hyūga was lightly damaged by near misses that rupture some hull plating in her bulge and pepper her superstructure with splinters . She took on a 5 @-@ degree list that was quickly corrected before she was ordered to tow the crippled carrier Chiyoda to safety . Her attempt was unsuccessful and Chiyoda had to be abandoned to her fate .""]"
